N,runs,pipeline_quality_pct,reference_quality_pct,excess_reference_pct,total_time_s,qaoa_time_s,feasible_pct,num_sub_qubos,reference_source_counts
10,20,3.21738947,0.196945961,3.02044351,4.73647079,4.73009719,100,3,bruteforce:20
20,20,0.963290409,0.000111410452,0.963178999,17.1959221,11.4905527,100,5,bruteforce:20
25,20,0.292997166,0.000169965702,0.2928272,16.6271885,14.7566089,100,7,milp:5+simulated_annealing:15
30,20,0.417689183,0.0000781099831,0.417611073,19.3433045,17.1048193,100,8,milp:2+simulated_annealing:18
40,20,0.140898183,0.0000684572434,0.140829726,25.6537907,22.6380568,100,10,milp:3+simulated_annealing:17
50,20,0.115381648,0.0000420505937,0.115339597,33.0798627,29.1578506,100,13,milp:1+simulated_annealing:19
65,12,0.0954408235,0.0000197249207,0.0954210986,43.314164,38.102235,100,17,milp:3+simulated_annealing:9
80,12,0.0562958439,0.0000218652687,0.0562739786,53.4346536,46.8427368,100,20,milp:2+simulated_annealing:10
100,12,0.0329228159,0.0000105755393,0.0329122403,65.2311122,57.0097073,100,25,milp:3+simulated_annealing:9
130,8,0.0221609581,0.0000115905664,0.0221493676,85.8672272,74.8496636,100,33,milp:3+simulated_annealing:5
160,8,0.0199733903,0.00000640087904,0.0199669894,104.87083,90.7050434,100,40,milp:3+simulated_annealing:5
200,8,0.00791750443,0.00000994324565,0.00790756119,134.357816,116.153158,100,50,milp:3+simulated_annealing:5
300,3,0.00192060413,0.00000924557702,0.00191135856,156.275263,126.631829,100,75,milp:1+simulated_annealing:2
500,3,0.000723624937,0.00000323936535,0.000720385571,324.129182,267.269621,100,125,milp:2+simulated_annealing:1
750,3,0.000668592159,0.00000978921477,0.000658802944,475.269142,366.895957,100,188,simulated_annealing:3
1000,3,0.000395553631,0.00000766339116,0.000387890239,672.387212,492.358815,100,250,milp:1+simulated_annealing:2
