experiment,group,runs,success_rate,feasibility_rate,optimality_rate,mean_energy,mean_brute_force_energy,mean_optimality_gap,std_optimality_gap,mean_solve_time_ms,std_solve_time_ms,mean_convergence_iterations,mean_max_subqubo_convergence_iterations,mean_num_sub_qubos,mean_load_imbalance,mean_max_probability
B1,"layers=1, init_strategy=None",5,1.0,1.0,1.0,-20.5,-20.5,0.0,0.0,1277.4613718002001,111.90704193102458,,,,,0.06264936633829869
B1,"layers=2, init_strategy=None",5,1.0,1.0,1.0,-20.5,-20.5,0.0,0.0,1941.8678579999323,80.26143802927216,,,,,0.06299326136562224
B1,"layers=3, init_strategy=None",5,1.0,1.0,1.0,-20.5,-20.5,0.0,0.0,2469.2365819999395,86.19215880383757,,,,,0.09174186078484588
B1,"layers=4, init_strategy=None",5,1.0,1.0,1.0,-20.5,-20.5,0.0,0.0,3169.5979646000524,73.71709974784024,,,,,0.08966307829419887
B1,"layers=5, init_strategy=None",5,1.0,1.0,1.0,-20.5,-20.5,0.0,0.0,3759.4921258000795,27.081394281672598,,,,,0.10998112222687681
B1,"layers=6, init_strategy=None",5,1.0,1.0,1.0,-20.5,-20.5,0.0,0.0,4391.55992420001,106.673476921777,,,,,0.09372489570877728
B1,"layers=7, init_strategy=None",5,1.0,1.0,1.0,-20.5,-20.5,0.0,0.0,5110.890476599889,100.30686110841323,,,,,0.10226474675123358
B1R,"layers=1, init_strategy=random",5,1.0,1.0,1.0,-20.5,-20.5,0.0,0.0,1325.059114799933,380.86971651676424,6.4,,,,0.06299963433696129
B1R,"layers=2, init_strategy=random",5,1.0,1.0,1.0,-20.5,-20.5,0.0,0.0,1775.9477623998464,80.84109299290736,5.8,,,,0.06285296747506042
B1R,"layers=3, init_strategy=random",5,1.0,1.0,1.0,-20.5,-20.5,0.0,0.0,2385.5058889998872,31.06987293807391,40.8,,,,0.07433029432898464
B1R,"layers=4, init_strategy=random",5,1.0,1.0,1.0,-20.5,-20.5,0.0,0.0,3084.7906483999395,64.06326396173388,53.4,,,,0.08943796311037439
B1R,"layers=5, init_strategy=random",5,1.0,1.0,1.0,-20.5,-20.5,0.0,0.0,3805.386654800077,79.53473795284526,59.8,,,,0.09126964225930523
B1R,"layers=6, init_strategy=random",5,1.0,1.0,1.0,-20.5,-20.5,0.0,0.0,4350.887464400148,53.51255515672649,66.6,,,,0.09716562670732157
B1R,"layers=7, init_strategy=random",5,1.0,1.0,1.0,-20.5,-20.5,0.0,0.0,5076.822892399923,105.67537693330983,64.6,,,,0.09371033609197596
B2,"steps=100, learning_rate=0.01",5,1.0,1.0,1.0,-20.5,-20.5,0.0,0.0,1788.6687375998918,25.014242818154194,26.0,,,,0.06316128906646408
B2,"steps=100, learning_rate=0.05",5,1.0,1.0,1.0,-20.5,-20.5,0.0,0.0,1770.352817999992,16.380317002346445,15.0,,,,0.06299326136562224
B2,"steps=100, learning_rate=0.1",5,1.0,1.0,1.0,-20.5,-20.5,0.0,0.0,1778.2250049999675,23.024100089215647,10.0,,,,0.06302170764776424
B2,"steps=100, learning_rate=0.5",5,1.0,1.0,1.0,-20.5,-20.5,0.0,0.0,1780.131810400053,49.69206744752708,28.0,,,,0.0644285711855589
B2,"steps=200, learning_rate=0.01",5,1.0,1.0,1.0,-20.5,-20.5,0.0,0.0,3605.9857078000277,64.01300698401819,26.0,,,,0.06250320609220503
B2,"steps=200, learning_rate=0.05",5,1.0,1.0,1.0,-20.5,-20.5,0.0,0.0,3592.6621447999423,98.883311013118,15.0,,,,0.06250146232975277
B2,"steps=200, learning_rate=0.1",5,1.0,1.0,1.0,-20.5,-20.5,0.0,0.0,3528.697421800007,42.10961316698043,10.0,,,,0.06250366609613767
B2,"steps=200, learning_rate=0.5",5,1.0,1.0,1.0,-20.5,-20.5,0.0,0.0,3641.352936000021,110.94805817517805,28.0,,,,0.06251651379513788
B2,"steps=50, learning_rate=0.01",5,1.0,1.0,1.0,-20.5,-20.5,0.0,0.0,904.262292400108,13.67590418751559,10.0,,,,0.07326156500246248
B2,"steps=50, learning_rate=0.05",5,1.0,1.0,1.0,-20.5,-20.5,0.0,0.0,900.7541542000581,32.82653505142702,15.0,,,,0.07086240995361458
B2,"steps=50, learning_rate=0.1",5,1.0,1.0,1.0,-20.5,-20.5,0.0,0.0,902.6275417999386,42.54059391222585,10.0,,,,0.06318135899233655
B2,"steps=50, learning_rate=0.5",5,1.0,1.0,1.0,-20.5,-20.5,0.0,0.0,917.833609400077,39.35136742220825,15.0,,,,0.07409472775813732
B2,"steps=500, learning_rate=0.01",5,1.0,1.0,1.0,-20.5,-20.5,0.0,0.0,9159.196215000065,285.39470202777306,26.0,,,,0.0625000000008724
B2,"steps=500, learning_rate=0.05",5,1.0,1.0,1.0,-20.5,-20.5,0.0,0.0,9106.91548959985,230.51102303510748,15.0,,,,0.06250022292495912
B2,"steps=500, learning_rate=0.1",5,1.0,1.0,1.0,-20.5,-20.5,0.0,0.0,9430.623576600101,506.1324046907392,10.0,,,,0.06260340903763276
B2,"steps=500, learning_rate=0.5",5,1.0,1.0,1.0,-20.5,-20.5,0.0,0.0,9150.435143400045,128.7002555241471,25.0,,,,0.10640410595157253
B3,"layers=2, init_gamma=0.1, init_beta=0.1",1,1.0,1.0,1.0,-20.5,-20.5,0.0,0.0,2014.4653439997455,0.0,3.0,,,,0.06302423272753434
B3,"layers=2, init_gamma=0.1, init_beta=0.3",1,1.0,1.0,1.0,-20.5,-20.5,0.0,0.0,1853.3433759998843,0.0,3.0,,,,0.06291825073102775
B3,"layers=2, init_gamma=0.1, init_beta=0.5",1,1.0,1.0,1.0,-20.5,-20.5,0.0,0.0,1895.6750840002314,0.0,3.0,,,,0.06315698990061004
B3,"layers=2, init_gamma=0.1, init_beta=0.7",1,1.0,1.0,1.0,-20.5,-20.5,0.0,0.0,1857.955320000201,0.0,10.0,,,,0.06340634255670753
B3,"layers=2, init_gamma=0.1, init_beta=1.0",1,1.0,1.0,1.0,-20.5,-20.5,0.0,0.0,1927.3404000000482,0.0,4.0,,,,0.06274945789716492
B3,"layers=2, init_gamma=0.3, init_beta=0.1",1,1.0,1.0,1.0,-20.5,-20.5,0.0,0.0,1822.5426930002868,0.0,3.0,,,,0.06302570700589522
B3,"layers=2, init_gamma=0.3, init_beta=0.3",1,1.0,1.0,1.0,-20.5,-20.5,0.0,0.0,1806.4295750000383,0.0,3.0,,,,0.06283471122238621
B3,"layers=2, init_gamma=0.3, init_beta=0.5",1,1.0,1.0,1.0,-20.5,-20.5,0.0,0.0,1777.9449380000187,0.0,15.0,,,,0.06310089629900788
B3,"layers=2, init_gamma=0.3, init_beta=0.7",1,1.0,1.0,1.0,-20.5,-20.5,0.0,0.0,1814.7478690002572,0.0,10.0,,,,0.06340625476561931
B3,"layers=2, init_gamma=0.3, init_beta=1.0",1,1.0,1.0,1.0,-20.5,-20.5,0.0,0.0,1723.9441940000688,0.0,4.0,,,,0.06275205364845819
B3,"layers=2, init_gamma=0.5, init_beta=0.1",1,1.0,1.0,1.0,-20.5,-20.5,0.0,0.0,1916.535357000157,0.0,3.0,,,,0.06304237727569435
B3,"layers=2, init_gamma=0.5, init_beta=0.3",1,1.0,1.0,1.0,-20.5,-20.5,0.0,0.0,1904.6948909999628,0.0,9.0,,,,0.06268703089899777
B3,"layers=2, init_gamma=0.5, init_beta=0.5",1,1.0,1.0,1.0,-20.5,-20.5,0.0,0.0,1912.3376649999955,0.0,15.0,,,,0.06299326136562224
B3,"layers=2, init_gamma=0.5, init_beta=0.7",1,1.0,1.0,1.0,-20.5,-20.5,0.0,0.0,2051.9587769999816,0.0,17.0,,,,0.06340557240719145
B3,"layers=2, init_gamma=0.5, init_beta=1.0",1,1.0,1.0,1.0,-20.5,-20.5,0.0,0.0,1756.0076820000177,0.0,7.0,,,,0.06275692595731452
B3,"layers=2, init_gamma=0.7, init_beta=0.1",1,1.0,1.0,1.0,-20.5,-20.5,0.0,0.0,1782.4972819998948,0.0,9.0,,,,0.06308143390149545
B3,"layers=2, init_gamma=0.7, init_beta=0.3",1,1.0,1.0,1.0,-20.5,-20.5,0.0,0.0,1804.7950989998753,0.0,16.0,,,,0.06254826117479713
B3,"layers=2, init_gamma=0.7, init_beta=0.5",1,1.0,1.0,1.0,-20.5,-20.5,0.0,0.0,1772.694533000049,0.0,15.0,,,,0.0627928479099797
B3,"layers=2, init_gamma=0.7, init_beta=0.7",1,1.0,1.0,1.0,-20.5,-20.5,0.0,0.0,1885.3308729999299,0.0,17.0,,,,0.06340019656845239
B3,"layers=2, init_gamma=0.7, init_beta=1.0",1,1.0,1.0,1.0,-20.5,-20.5,0.0,0.0,1946.9166889998633,0.0,12.0,,,,0.06276048734487492
B3,"layers=2, init_gamma=1.0, init_beta=0.1",1,1.0,1.0,1.0,-20.5,-20.5,0.0,0.0,1809.9296850000428,0.0,16.0,,,,0.06316482716128982
B3,"layers=2, init_gamma=1.0, init_beta=0.3",1,1.0,1.0,1.0,-20.5,-20.5,0.0,0.0,1778.561259000071,0.0,23.0,,,,0.06301145812683683
B3,"layers=2, init_gamma=1.0, init_beta=0.5",1,1.0,1.0,1.0,-20.5,-20.5,0.0,0.0,1949.7018070001104,0.0,21.0,,,,0.06269394880806708
B3,"layers=2, init_gamma=1.0, init_beta=0.7",1,1.0,1.0,1.0,-20.5,-20.5,0.0,0.0,1864.9868410002455,0.0,17.0,,,,0.06337036653548547
B3,"layers=2, init_gamma=1.0, init_beta=1.0",1,1.0,1.0,1.0,-20.5,-20.5,0.0,0.0,1814.2625079999561,0.0,12.0,,,,0.06275843100790997
B3,"layers=3, init_gamma=0.1, init_beta=0.1",1,1.0,1.0,1.0,-20.5,-20.5,0.0,0.0,2487.7278049998495,0.0,9.0,,,,0.06255576312122393
B3,"layers=3, init_gamma=0.1, init_beta=0.3",1,1.0,1.0,1.0,-20.5,-20.5,0.0,0.0,2399.830648999796,0.0,52.0,,,,0.0913568761064495
B3,"layers=3, init_gamma=0.1, init_beta=0.5",1,1.0,1.0,1.0,-20.5,-20.5,0.0,0.0,2328.278042999955,0.0,53.0,,,,0.09085660818965488
B3,"layers=3, init_gamma=0.1, init_beta=0.7",1,1.0,1.0,1.0,-20.5,-20.5,0.0,0.0,2452.0060869999725,0.0,2.0,,,,0.06317552151574778
B3,"layers=3, init_gamma=0.1, init_beta=1.0",1,1.0,1.0,1.0,-20.5,-20.5,0.0,0.0,2384.8709040003087,0.0,13.0,,,,0.06289960006422625
B3,"layers=3, init_gamma=0.3, init_beta=0.1",1,1.0,1.0,1.0,-20.5,-20.5,0.0,0.0,2682.7951650002433,0.0,9.0,,,,0.06257034020006393
B3,"layers=3, init_gamma=0.3, init_beta=0.3",1,1.0,1.0,1.0,-20.5,-20.5,0.0,0.0,2480.0311019998844,0.0,59.0,,,,0.09145170025330102
B3,"layers=3, init_gamma=0.3, init_beta=0.5",1,1.0,1.0,1.0,-20.5,-20.5,0.0,0.0,2469.5663600000444,0.0,61.0,,,,0.09160030962139874
B3,"layers=3, init_gamma=0.3, init_beta=0.7",1,1.0,1.0,1.0,-20.5,-20.5,0.0,0.0,2410.599662000095,0.0,11.0,,,,0.06318142353320809
B3,"layers=3, init_gamma=0.3, init_beta=1.0",1,1.0,1.0,1.0,-20.5,-20.5,0.0,0.0,2383.5237700000107,0.0,13.0,,,,0.06308445572551623
B3,"layers=3, init_gamma=0.5, init_beta=0.1",1,1.0,1.0,1.0,-20.5,-20.5,0.0,0.0,2561.669309000081,0.0,9.0,,,,0.06255804965786295
B3,"layers=3, init_gamma=0.5, init_beta=0.3",1,1.0,1.0,1.0,-20.5,-20.5,0.0,0.0,2476.7968520000068,0.0,67.0,,,,0.09169147154302841
B3,"layers=3, init_gamma=0.5, init_beta=0.5",1,1.0,1.0,1.0,-20.5,-20.5,0.0,0.0,2411.5238539998245,0.0,69.0,,,,0.09174186078484588
B3,"layers=3, init_gamma=0.5, init_beta=0.7",1,1.0,1.0,1.0,-20.5,-20.5,0.0,0.0,2482.9919610001525,0.0,11.0,,,,0.06317879904487095
B3,"layers=3, init_gamma=0.5, init_beta=1.0",1,1.0,1.0,1.0,-20.5,-20.5,0.0,0.0,2405.750669999634,0.0,13.0,,,,0.06337392251335519
B3,"layers=3, init_gamma=0.7, init_beta=0.1",1,1.0,1.0,1.0,-20.5,-20.5,0.0,0.0,2494.608631000119,0.0,13.0,,,,0.0625165739705493
