source,qubit_max,pipeline,layers,steps,runs,optimality_rate,mean_optimality_gap,mean_solve_time_ms
D2_historical,4,iterative,2,100,5,1.0,0.0,4550.290859800043
D2_historical,6,iterative,2,100,5,1.0,0.0,4546.807960599926
D2_historical,8,iterative,2,100,5,1.0,0.0,4777.013519600132
D2_historical,10,iterative,2,100,5,1.0,0.0,4792.512843000168
D2_historical,12,iterative,2,100,5,1.0,0.0,5648.047286200108
D2_historical,16,default,2,100,5,0.0,0.0005913284854171517,6911.121641800128
E2_phase4,16,default,1,100,5,0.0,0.004754085542262936,3672.053371200309
E2_phase4,16,default,1,200,5,0.0,0.005393306747986627,7169.167606800329
E2_phase4,16,default,1,500,5,0.0,0.0045410118070216944,17907.60937379964
E2_phase4,16,default,2,100,5,0.0,0.003177535381968896,6432.324931399853
E2_phase4,16,default,2,200,5,0.0,0.004123660958636339,12851.713527600441
E2_phase4,16,default,2,500,5,0.0,0.003322190945343609,35142.06859279948
E2_phase4,16,default,3,100,5,0.4,0.0029410039878020357,10212.739519399838
E2_phase4,16,default,3,200,5,0.0,0.0025959809211041408,20116.114635399572
E2_phase4,16,default,3,500,5,0.2,0.0027973258268824868,50348.611887600055
E2_phase4,16,default,4,100,5,0.2,0.0015315896473532679,12571.57105320075
E2_phase4,16,default,4,200,5,0.4,0.0015306122448980005,24590.889697599778
E2_phase4,16,default,4,500,5,0.4,0.0010663460786614078,61352.067659800014
