seed,qaoa_seed,imbalance_pipeline,imbalance_ref,delta_imbalance,gap_estavel
0,10000,0.12455437497632671,0.004047675269216899,0.12050669970710981,0.0005113612927004848
1,10001,0.02616870260423143,0.005881948794277392,0.02028675380995404,2.4956051702729784e-05
2,10002,0.014912754299948094,0.0018320386545140899,0.013080715645434005,1.3894802146480294e-05
3,10003,0.03220160169498154,0.0035685608852211725,0.02863304080976037,7.400445723286727e-05
4,10004,0.05881172210938157,0.0016419400830085529,0.05716978202637302,9.971376637509159e-05
5,10005,0.06450006033669187,0.00100150760835227,0.0634985527283396,0.00021949656104333038
6,10006,0.14135441682428063,0.0020534799081088906,0.13930093691617174,0.0007825920796429938
7,10007,0.20326207519045436,0.0040960833419649845,0.19916599184848938,0.0012325831958966491
8,10008,0.14879959196421844,0.00027893824091762554,0.1485206537233008,0.000858299148072349
9,10009,0.16278682424346425,0.016929556069815277,0.14585726817364897,0.0006376367789101854
10,10010,0.015854259706392426,0.0008712996257314032,0.014982960080661023,7.704023922637054e-06
11,10011,0.006369763673599316,0.0017300280189953554,0.00463973565460396,2.2306417506810025e-06
12,10012,0.06116756091338438,0.0016014433616797774,0.0595661175517046,0.00017022823579137186
13,10013,0.22096410588042792,0.032776307477965894,0.18818779840246203,0.0011925216024436254
14,10014,0.08575956377970773,0.0038409607857019523,0.08191860299400577,0.00017573644461035926
15,10015,0.08285181159722255,0.00199443790792575,0.0808573736892968,0.00026245065509245116
16,10016,0.01984683387576336,0.013817992833508708,0.006028841042254651,9.352750906890197e-06
17,10017,0.08997627912562889,0.0003864774603781207,0.08958980166525077,0.00043302456181608216
18,10018,0.017535996386161212,0.0003245926587096548,0.017211403727451557,1.316110857445546e-05
19,10019,0.14988301140468385,0.00980385092879743,0.14007916047588642,0.0008095372177374707
