N,seed,qaoa_seed,pipeline_imbalance,status,solver_status,solve_seconds,reported_objective_units,verified_objective_units,witness_imbalance,exact_certificate_at_scale,mip_gap,pipeline_proven_nonoptimal,pipeline_certified_optimal
300,0,10000,0.00175803703828592,time_limit_with_witness,1,0.5031960349988367,24609.0,24609,2.4603170544423847e-05,False,1.0,True,False
300,1,10001,0.0009166698237947912,time_limit_with_witness,1,0.5029527740007325,25538.0,25538,2.5534755252465402e-05,False,1.0,True,False
300,2,10002,0.001693946599885976,time_limit_with_witness,1,0.502278240997839,394.9999990463257,395,4.0105808807311405e-07,False,1.0,True,False
500,0,10000,0.000490095166185256,time_limit_with_witness,1,0.5062056980023044,12082.0,12082,1.2077419739853212e-05,False,1.0,True,False
500,1,10001,0.0004299145884374411,time_limit_with_witness,1,0.5059895170015807,575.0,575,5.833065017668559e-07,False,1.0,True,False
500,2,10002,0.0017941963328240718,time_limit_with_witness,1,0.5048634730010235,251.0,251,2.5744398612914665e-07,False,1.0,True,False
750,0,10000,0.0014211172946261286,time_limit_with_witness,1,0.5041630000014266,51965.0,51965,5.196548994490513e-05,False,1.0,True,False
750,1,10001,0.001357643932180963,time_limit_with_witness,1,0.5034847770002671,11630.0,11630,1.163181809715752e-05,False,1.0,True,False
750,2,10002,0.0010273344163636011,time_limit_with_witness,1,0.5034900270002254,52368.0,49071,4.907114464458573e-05,False,1.0,True,False
1000,0,10000,0.0020583308923391996,time_limit_with_witness,1,0.5082124270011263,84381.0,84381,8.437387316462264e-05,False,1.0,True,False
1000,1,10001,0.0004708277127178917,time_limit_with_witness,1,0.506494979999843,410666.0,213679,0.0002136822992042653,False,1.0,True,False
1000,2,10002,0.0005096443140075735,time_limit_with_witness,1,10.021716582999943,222.0,222,2.1077516976220068e-07,False,1.0,True,False
