source_file,scenario_id,experiment,repeat_number,status,pipeline,num_entities,num_cores,num_variables,layers,steps,learning_rate,mixer_type,init_strategy,init_gamma,init_beta,random_seed,top_k,penalty,penalty_multiplier,weight_distribution,qubit_max,sorting_strategy,energy,brute_force_energy,feasible,optimal,optimality_gap,solve_time_ms,max_probability,convergence_iterations_to_final_tol,max_subqubo_convergence_iterations_to_final_tol,num_sub_qubos,all_sub_qubos_feasible,load_imbalance,recorded_sa_energy,recorded_sa_gap
run_20260626_152701_7a132ebd_results.jsonl,T1.1,T1,1,success,default,2,2,4,1,50,0.05,xy,,0.5,0.5,,10,5.0,,,4,COUPLING_DESCENDING,-10.42,-10.42,True,True,0.0,609.683233999931,0.2622052758545041,,,,,,,
run_20260626_152701_7a132ebd_results.jsonl,T1.2,T1,1,success,default,3,2,6,1,50,0.05,xy,,0.5,0.5,,10,5.0,,,6,COUPLING_DESCENDING,-15.500000000000002,-15.500000000000002,True,True,0.0,443.20429700019304,0.13426479080408618,,,,,,,
run_20260626_152701_7a132ebd_results.jsonl,T1.3,T1,1,success,default,4,2,8,1,50,0.05,xy,,0.5,0.5,,12,5.0,,,8,COUPLING_DESCENDING,-20.5,-20.5,True,True,0.0,615.9804949998033,0.06875160686379561,,,,,,,
sweep_20260626_152713_c32d7ee9_results.jsonl,B1.1,B1,1,success,default,4,2,8,1,100,0.05,xy,,0.5,0.5,,32,5.0,,,8,COUPLING_DESCENDING,-20.5,-20.5,True,True,0.0,1416.560837000361,0.06264936633829869,,,,,,,
sweep_20260626_152713_c32d7ee9_results.jsonl,B1.1,B1,2,success,default,4,2,8,1,100,0.05,xy,,0.5,0.5,,32,5.0,,,8,COUPLING_DESCENDING,-20.5,-20.5,True,True,0.0,1283.5786200002985,0.06264936633829869,,,,,,,
sweep_20260626_152713_c32d7ee9_results.jsonl,B1.1,B1,3,success,default,4,2,8,1,100,0.05,xy,,0.5,0.5,,32,5.0,,,8,COUPLING_DESCENDING,-20.5,-20.5,True,True,0.0,1341.6905409999345,0.06264936633829869,,,,,,,
sweep_20260626_152713_c32d7ee9_results.jsonl,B1.1,B1,4,success,default,4,2,8,1,100,0.05,xy,,0.5,0.5,,32,5.0,,,8,COUPLING_DESCENDING,-20.5,-20.5,True,True,0.0,1124.5332070002405,0.06264936633829869,,,,,,,
sweep_20260626_152713_c32d7ee9_results.jsonl,B1.1,B1,5,success,default,4,2,8,1,100,0.05,xy,,0.5,0.5,,32,5.0,,,8,COUPLING_DESCENDING,-20.5,-20.5,True,True,0.0,1220.9436540001661,0.06264936633829869,,,,,,,
sweep_20260626_152713_c32d7ee9_results.jsonl,B1.2,B1,1,success,default,4,2,8,2,100,0.05,xy,,0.5,0.5,,32,5.0,,,8,COUPLING_DESCENDING,-20.5,-20.5,True,True,0.0,1876.1476579998089,0.06299326136562224,,,,,,,
sweep_20260626_152713_c32d7ee9_results.jsonl,B1.2,B1,2,success,default,4,2,8,2,100,0.05,xy,,0.5,0.5,,32,5.0,,,8,COUPLING_DESCENDING,-20.5,-20.5,True,True,0.0,2065.3741599999194,0.06299326136562224,,,,,,,
sweep_20260626_152713_c32d7ee9_results.jsonl,B1.2,B1,3,success,default,4,2,8,2,100,0.05,xy,,0.5,0.5,,32,5.0,,,8,COUPLING_DESCENDING,-20.5,-20.5,True,True,0.0,1980.688592000206,0.06299326136562224,,,,,,,
sweep_20260626_152713_c32d7ee9_results.jsonl,B1.2,B1,4,success,default,4,2,8,2,100,0.05,xy,,0.5,0.5,,32,5.0,,,8,COUPLING_DESCENDING,-20.5,-20.5,True,True,0.0,1896.8165659998704,0.06299326136562224,,,,,,,
sweep_20260626_152713_c32d7ee9_results.jsonl,B1.2,B1,5,success,default,4,2,8,2,100,0.05,xy,,0.5,0.5,,32,5.0,,,8,COUPLING_DESCENDING,-20.5,-20.5,True,True,0.0,1890.312313999857,0.06299326136562224,,,,,,,
sweep_20260626_152713_c32d7ee9_results.jsonl,B1.3,B1,1,success,default,4,2,8,3,100,0.05,xy,,0.5,0.5,,32,5.0,,,8,COUPLING_DESCENDING,-20.5,-20.5,True,True,0.0,2406.692672999725,0.09174186078484588,,,,,,,
sweep_20260626_152713_c32d7ee9_results.jsonl,B1.3,B1,2,success,default,4,2,8,3,100,0.05,xy,,0.5,0.5,,32,5.0,,,8,COUPLING_DESCENDING,-20.5,-20.5,True,True,0.0,2394.8604229999546,0.09174186078484588,,,,,,,
