experiment,structure,instance,difficulty,io_alpha,layers,top_k,runs,success_rate,feasibility_rate,optimality_rate,recorded_optimality_rate,sa_optimality_rate,qaoa_sa_agreement_rate,mean_energy,mean_optimality_gap,max_optimality_gap,mean_absolute_gap,mean_load_imbalance,mean_solve_time_ms,std_solve_time_ms,mean_convergence_iterations,mean_max_subqubo_convergence_iterations
E1a,dominant,dom060,0.6,0.5,1,10,5,1.0,1.0,1.0,1.0,1.0,1.0,-30.479999999999997,0.0,0.0,0.0,0.19999999999999996,1996.4952425994852,37.35969009683901,,4.4
E1a,dominant,dom060,0.6,0.5,1,3,5,1.0,1.0,1.0,1.0,1.0,1.0,-30.479999999999997,0.0,0.0,0.0,0.19999999999999996,2046.6703106005298,146.26999676474313,,4.4
E1a,dominant,dom060,0.6,0.5,2,10,5,1.0,1.0,1.0,1.0,1.0,1.0,-30.479999999999997,0.0,0.0,0.0,0.19999999999999996,3000.8332419998624,12.959674428195504,,5.4
E1a,dominant,dom060,0.6,0.5,2,3,5,1.0,1.0,0.4,0.4,1.0,0.4,-30.453119999999995,0.0008818897637794716,0.001469816272965786,0.026879999999999172,0.29599999999999993,3001.7150526004116,19.987870952556943,,6.8
E1a,dominant,dom070,0.7,0.5,1,10,5,1.0,1.0,1.0,1.0,1.0,1.0,-30.420000000000005,0.0,0.0,0.0,0.39999999999999997,1994.4907187993522,29.84102165111309,,4.4
E1a,dominant,dom070,0.7,0.5,1,3,5,1.0,1.0,1.0,1.0,1.0,1.0,-30.420000000000005,0.0,0.0,0.0,0.39999999999999997,1993.5945021996304,36.7045770437766,,4.4
E1a,dominant,dom070,0.7,0.5,2,10,5,1.0,1.0,1.0,1.0,1.0,1.0,-30.420000000000005,0.0,0.0,0.0,0.39999999999999997,3004.2082539992407,19.486040213727833,,6.2
E1a,dominant,dom070,0.7,0.5,2,3,5,1.0,1.0,0.4,0.4,1.0,0.4,-30.38688,0.0010887573964496536,0.0018145956607494226,0.03311999999999955,0.472,2996.548036400418,9.40311253950767,,7.2
E1a,dominant,dom080,0.8,0.5,1,10,5,1.0,1.0,1.0,1.0,1.0,1.0,-30.320000000000004,0.0,0.0,0.0,0.6000000000000001,1995.689486399715,40.19393102734812,,4.4
E1a,dominant,dom080,0.8,0.5,1,3,5,1.0,1.0,0.8,0.8,1.0,0.8,-30.309760000000004,0.00033773087071239954,0.0016886543535619978,0.010240000000000294,0.6160000000000001,1990.5796867999015,38.44328764690026,,3.6
E1a,dominant,dom080,0.8,0.5,2,10,5,1.0,1.0,1.0,1.0,1.0,1.0,-30.320000000000004,0.0,0.0,0.0,0.6000000000000001,3003.7556584000413,9.659406921526466,,5.6
E1a,dominant,dom080,0.8,0.5,2,3,5,1.0,1.0,0.4,0.4,1.0,0.4,-30.28928,0.0010131926121371986,0.0016886543535619978,0.03072000000000088,0.648,3023.0037668003206,18.196612969343892,,6.6
E1a,dominant,dom090,0.9,0.5,1,10,5,1.0,1.0,1.0,1.0,1.0,1.0,-30.18,0.0,0.0,0.0,0.8,2011.6065348003758,28.077564604111743,,4.4
E1a,dominant,dom090,0.9,0.5,1,3,5,1.0,1.0,1.0,1.0,1.0,1.0,-30.18,0.0,0.0,0.0,0.8,1992.2950796000805,33.61818570697077,,4.4
E1a,dominant,dom090,0.9,0.5,2,10,5,1.0,1.0,1.0,1.0,1.0,1.0,-30.18,0.0,0.0,0.0,0.8,2985.685023199767,15.708600172744143,,3.8
E1a,dominant,dom090,0.9,0.5,2,3,5,1.0,1.0,0.4,0.4,1.0,0.4,-30.160320000000002,0.000652087475149118,0.0010868124585818632,0.01968000000000103,0.8240000000000001,3000.758811000196,20.860042928082933,,4.8
E1a,dominant,dom095,0.95,0.5,1,10,5,1.0,1.0,1.0,1.0,1.0,1.0,-30.095,0.0,0.0,0.0,0.9,1998.2953258000634,39.37457619282425,,4.2
E1a,dominant,dom095,0.95,0.5,1,3,5,1.0,1.0,1.0,1.0,1.0,1.0,-30.095,0.0,0.0,0.0,0.9,1992.0839112004614,38.54404079199763,,4.2
E1a,dominant,dom095,0.95,0.5,2,10,5,1.0,1.0,1.0,1.0,1.0,1.0,-30.095,0.0,0.0,0.0,0.9,3005.7842482001433,29.79853010113313,,2.8
E1a,dominant,dom095,0.95,0.5,2,3,5,1.0,1.0,0.2,0.2,1.0,0.2,-30.08044,0.0004838012958962236,0.0006047516198702795,0.01455999999999733,0.916,3001.1384342000383,16.726058426543307,,3.6
E1b,near_equal,near001,0.01,0.5,1,10,5,1.0,1.0,1.0,1.0,1.0,1.0,-20.500996,0.0,0.0,0.0,0.0030000000000000027,1563.2429221997882,23.981050235332688,,7.0
E1b,near_equal,near001,0.01,0.5,1,3,5,1.0,1.0,1.0,1.0,1.0,1.0,-20.500996,0.0,0.0,0.0,0.0030000000000000027,1566.7370007999125,38.17130641406321,,7.0
E1b,near_equal,near001,0.01,0.5,2,10,5,1.0,1.0,1.0,1.0,1.0,1.0,-20.500996,0.0,0.0,0.0,0.0030000000000000027,2176.6398727995693,35.29606762125785,,8.6
E1b,near_equal,near001,0.01,0.5,2,3,5,1.0,1.0,0.4,1.0,1.0,0.4,-20.500984,5.853374149078782e-07,9.75562358179797e-07,1.2000000001677336e-05,0.005400000000000005,2164.5124079994275,20.58484114056593,,8.6
E1b,near_equal,near005,0.05,0.5,1,10,5,1.0,1.0,1.0,1.0,1.0,1.0,-20.505000000000003,0.0,0.0,0.0,0.0050000000000000044,1560.213962799753,32.116679276844714,,7.0
E1b,near_equal,near005,0.05,0.5,1,3,5,1.0,1.0,0.6,0.6,1.0,0.6,-20.50476,1.1704462326303343e-05,2.9261155815758357e-05,0.00024000000000086176,0.017000000000000015,1575.9396366007422,36.14057931082198,,7.0
