layers,steps,runs,success_rate,feasibility_rate,optimality_rate,recorded_optimality_rate,sa_optimality_rate,qaoa_sa_agreement_rate,mean_energy,mean_optimality_gap,max_optimality_gap,mean_absolute_gap,mean_load_imbalance,mean_solve_time_ms,std_solve_time_ms,mean_convergence_iterations,mean_max_subqubo_convergence_iterations
1,100,5,1.0,1.0,0.0,0.0,1.0,0.0,-40.730239999999995,0.004754085542262936,0.0070568457267965136,0.194560000000007,0.608,3672.053371200309,116.55625861380562,5.0,
1,200,5,1.0,1.0,0.0,0.0,1.0,0.0,-40.70408,0.005393306747986627,0.0070568457267965136,0.22072000000000855,0.6559999999999999,7169.167606800329,27.371028392186293,5.0,
1,500,5,1.0,1.0,0.0,0.0,1.0,0.0,-40.73896,0.0045410118070216944,0.0070568457267965136,0.185840000000006,0.576,17907.60937379964,18.747007378347497,5.0,
2,100,5,1.0,1.0,0.0,0.0,1.0,0.0,-40.794760000000004,0.003177535381968896,0.0070568457267965136,0.13004000000000387,0.43599999999999994,6432.324931399853,37.50385090680777,7.4,
2,200,5,1.0,1.0,0.0,0.0,1.0,0.0,-40.75604,0.004123660958636339,0.0070568457267965136,0.1687600000000046,0.524,12851.713527600441,79.00007271083831,7.4,
2,500,5,1.0,1.0,0.0,0.0,1.0,0.0,-40.78884000000001,0.003322190945343609,0.006333567909922431,0.13596000000000147,0.476,35142.06859279948,55.28414987641099,7.4,
3,100,5,1.0,1.0,0.4,0.4,1.0,0.4,-40.80444,0.0029410039878020357,0.0070568457267965136,0.12036000000000371,0.348,10212.739519399838,55.101554822264646,33.6,
3,200,5,1.0,1.0,0.0,0.4,1.0,0.0,-40.818560000000005,0.0025959809211041408,0.0070568457267965136,0.10624000000000536,0.336,20116.114635399572,138.2921153993501,33.8,
3,500,5,1.0,1.0,0.2,0.4,1.0,0.2,-40.810320000000004,0.0027973258268824868,0.0070568457267965136,0.11448000000000462,0.34400000000000003,50348.611887600055,474.00470605452324,33.8,
4,100,5,1.0,1.0,0.2,0.6,1.0,0.2,-40.86212,0.0015315896473532679,0.0070568457267965136,0.06268000000000455,0.20400000000000001,12571.57105320075,408.58569147588776,37.4,
4,200,5,1.0,1.0,0.4,0.6,1.0,0.4,-40.86216,0.0015306122448980005,0.0070568457267965136,0.06264000000000465,0.2,24590.889697599778,166.52942218988116,37.6,
4,500,5,1.0,1.0,0.4,0.8,1.0,0.4,-40.88116,0.0010663460786614078,0.005321956368754365,0.043640000000003454,0.14,61352.067659800014,147.73834013361895,130.8,
