dataset,structure,input_num_processes,instance,difficulty,top_k,runs,success_rate,feasibility_rate,optimality_rate,recorded_optimality_rate,sa_optimality_rate,qaoa_sa_agreement_rate,mean_energy,mean_optimality_gap,max_optimality_gap,mean_absolute_gap,mean_load_imbalance,mean_solve_time_ms,std_solve_time_ms,mean_convergence_iterations,mean_max_subqubo_convergence_iterations
adversarial,dominant,6,dom060,0.6,1,5,1.0,1.0,0.0,0.0,1.0,0.0,-30.364800000000002,0.0037795275590548115,0.0037795275590548115,0.11519999999999442,0.5199999999999999,3049.003525599983,114.95895134353574,,7.2
adversarial,dominant,6,dom060,0.6,10,5,1.0,1.0,1.0,1.0,1.0,1.0,-30.479999999999997,0.0,0.0,0.0,0.19999999999999996,3000.8332419998624,12.959674428195504,,5.4
adversarial,dominant,6,dom060,0.6,3,5,1.0,1.0,0.4,0.4,1.0,0.4,-30.453119999999995,0.0008818897637794716,0.001469816272965786,0.026879999999999172,0.29599999999999993,3001.7150526004116,19.987870952556943,,6.8
adversarial,dominant,6,dom060,0.6,5,5,1.0,1.0,1.0,1.0,1.0,1.0,-30.479999999999997,0.0,0.0,0.0,0.19999999999999996,2995.89626220004,10.834783784244136,,5.4
adversarial,dominant,6,dom070,0.7,1,5,1.0,1.0,0.0,0.0,1.0,0.0,-30.295200000000005,0.004102564102563867,0.004102564102563867,0.12479999999999691,0.6400000000000001,2999.523285199757,5.478466576385418,,7.2
adversarial,dominant,6,dom070,0.7,10,5,1.0,1.0,1.0,1.0,1.0,1.0,-30.420000000000005,0.0,0.0,0.0,0.39999999999999997,3004.2082539992407,19.486040213727833,,6.2
adversarial,dominant,6,dom070,0.7,3,5,1.0,1.0,0.4,0.4,1.0,0.4,-30.38688,0.0010887573964496536,0.0018145956607494226,0.03311999999999955,0.472,2996.548036400418,9.40311253950767,,7.2
adversarial,dominant,6,dom070,0.7,5,5,1.0,1.0,1.0,1.0,1.0,1.0,-30.420000000000005,0.0,0.0,0.0,0.39999999999999997,3009.273669000322,33.160351687881004,,6.2
adversarial,dominant,6,dom080,0.8,1,5,1.0,1.0,0.0,0.0,1.0,0.0,-30.2112,0.0035883905013192165,0.003588390501319216,0.10880000000000223,0.7600000000000001,3027.1341458003008,22.76759603945785,,7.0
adversarial,dominant,6,dom080,0.8,10,5,1.0,1.0,1.0,1.0,1.0,1.0,-30.320000000000004,0.0,0.0,0.0,0.6000000000000001,3003.7556584000413,9.659406921526466,,5.6
adversarial,dominant,6,dom080,0.8,3,5,1.0,1.0,0.4,0.4,1.0,0.4,-30.28928,0.0010131926121371986,0.0016886543535619978,0.03072000000000088,0.648,3023.0037668003206,18.196612969343892,,6.6
adversarial,dominant,6,dom080,0.8,5,5,1.0,1.0,1.0,1.0,1.0,1.0,-30.320000000000004,0.0,0.0,0.0,0.6000000000000001,3010.3580835992034,15.544410103986174,,5.6
adversarial,dominant,6,dom090,0.9,1,5,1.0,1.0,0.0,0.0,1.0,0.0,-30.1128,0.0022266401590456423,0.0022266401590456423,0.0671999999999997,0.8800000000000001,3001.593982000122,6.89759119620317,,4.8
adversarial,dominant,6,dom090,0.9,10,5,1.0,1.0,1.0,1.0,1.0,1.0,-30.18,0.0,0.0,0.0,0.8,2985.685023199767,15.708600172744143,,3.8
adversarial,dominant,6,dom090,0.9,3,5,1.0,1.0,0.4,0.4,1.0,0.4,-30.160320000000002,0.000652087475149118,0.0010868124585818632,0.01968000000000103,0.8240000000000001,3000.758811000196,20.860042928082933,,4.8
adversarial,dominant,6,dom090,0.9,5,5,1.0,1.0,1.0,1.0,1.0,1.0,-30.18,0.0,0.0,0.0,0.8,3287.4908507994405,67.38592107354494,,3.8
adversarial,dominant,6,dom095,0.95,1,5,1.0,1.0,0.0,0.0,1.0,0.0,-30.058200000000006,0.001222794484133402,0.001222794484133402,0.03679999999999595,0.9399999999999998,3316.6357953999977,77.80266325905916,,3.2
adversarial,dominant,6,dom095,0.95,10,5,1.0,1.0,1.0,1.0,1.0,1.0,-30.095,0.0,0.0,0.0,0.9,3005.7842482001433,29.79853010113313,,2.8
adversarial,dominant,6,dom095,0.95,3,5,1.0,1.0,0.2,0.2,1.0,0.2,-30.08044,0.0004838012958962236,0.0006047516198702795,0.01455999999999733,0.916,3001.1384342000383,16.726058426543307,,3.6
adversarial,dominant,6,dom095,0.95,5,5,1.0,1.0,1.0,1.0,1.0,1.0,-30.095,0.0,0.0,0.0,0.9,3299.998628800313,52.60327380323114,,2.8
adversarial,near_equal,4,near001,0.01,1,5,1.0,1.0,0.0,0.0,1.0,0.0,-20.37146,0.0063185222805758005,0.0063185222805758,0.12953600000000165,0.509,2385.687191800389,100.67533196466698,,12.6
adversarial,near_equal,4,near001,0.01,10,5,1.0,1.0,1.0,1.0,1.0,1.0,-20.500996,0.0,0.0,0.0,0.0030000000000000027,2176.6398727995693,35.29606762125785,,8.6
adversarial,near_equal,4,near001,0.01,3,5,1.0,1.0,0.4,1.0,1.0,0.4,-20.500984,5.853374149078782e-07,9.75562358179797e-07,1.2000000001677336e-05,0.005400000000000005,2164.5124079994275,20.58484114056593,,8.6
adversarial,near_equal,4,near001,0.01,5,5,1.0,1.0,1.0,1.0,1.0,1.0,-20.500996,0.0,0.0,0.0,0.0030000000000000027,2411.041600799581,99.55962899210441,,8.6
adversarial,near_equal,4,near005,0.05,1,5,1.0,1.0,0.0,0.0,1.0,0.0,-20.351,0.007510363326017846,0.007510363326017847,0.15400000000000347,0.555,2381.5638431999105,68.43836790006418,,15.6
adversarial,near_equal,4,near005,0.05,10,5,1.0,1.0,1.0,1.0,1.0,1.0,-20.505000000000003,0.0,0.0,0.0,0.0050000000000000044,2167.4821849999717,33.541857930617844,,8.0
adversarial,near_equal,4,near005,0.05,3,5,1.0,1.0,0.4,0.4,1.0,0.4,-20.504640000000002,1.7556693489455015e-05,2.9261155815758357e-05,0.0003600000000012926,0.02300000000000002,2182.8815493994625,14.240550101690317,,8.0
adversarial,near_equal,4,near005,0.05,5,5,1.0,1.0,1.0,1.0,1.0,1.0,-20.505000000000003,0.0,0.0,0.0,0.0050000000000000044,2381.8955995997385,68.64945218628243,,8.0
adversarial,near_equal,4,near010,0.1,1,5,1.0,1.0,0.0,0.0,1.0,0.0,-20.323999999999998,0.009068746952705726,0.009068746952705726,0.1860000000000035,0.6100000000000001,2419.7439487994416,44.62755263813279,,15.6
adversarial,near_equal,4,near010,0.1,10,5,1.0,1.0,1.0,1.0,1.0,1.0,-20.51,0.0,0.0,0.0,0.010000000000000009,2171.8237177996343,11.833260763036328,,8.0
adversarial,near_equal,4,near010,0.1,3,5,1.0,1.0,0.4,0.4,1.0,0.4,-20.50856,7.020965382744208e-05,0.00011701608971240346,0.0014400000000009071,0.046000000000000006,2164.6267364001687,34.620445122144794,,8.0
adversarial,near_equal,4,near010,0.1,5,5,1.0,1.0,1.0,1.0,1.0,1.0,-20.51,0.0,0.0,0.0,0.010000000000000009,2433.3943265995913,76.81995439704292,,8.0
adversarial,near_equal,4,near020,0.2,1,5,1.0,1.0,0.0,0.0,1.0,0.0,-20.27,0.013625304136252434,0.013625304136252434,0.28000000000000114,0.7499999999999999,2392.1078582003247,50.18509752817595,,13.0
adversarial,near_equal,4,near020,0.2,10,5,1.0,1.0,1.0,1.0,1.0,1.0,-20.55,0.0,0.0,0.0,0.050000000000000044,2152.5179352000123,30.012803292699243,,7.6
adversarial,near_equal,4,near020,0.2,3,5,1.0,1.0,0.4,0.4,1.0,0.4,-20.54712,0.0001401459854014376,0.00023357664233572935,0.0028799999999996827,0.08600000000000001,2158.171780000339,31.981342420360093,,7.6
adversarial,near_equal,4,near020,0.2,5,5,1.0,1.0,1.0,1.0,1.0,1.0,-20.55,0.0,0.0,0.0,0.050000000000000044,2413.590246799504,55.79423558167018,,7.6
uniform,uniform,10,,,1,5,1.0,1.0,0.0,0.0,1.0,0.0,-50.480000000000004,0.0003960396039603094,0.0003960396039603094,0.01999999999999602,0.19999999999999996,5498.722539400478,317.2549927471534,,6.8
uniform,uniform,10,,,10,5,1.0,1.0,1.0,1.0,1.0,1.0,-50.5,0.0,0.0,0.0,0.0,5578.209750200767,72.33110082624964,,4.6
uniform,uniform,10,,,3,5,1.0,1.0,1.0,1.0,1.0,1.0,-50.5,0.0,0.0,0.0,0.0,5174.0975204007555,30.472207800412843,,4.6
uniform,uniform,10,,,5,5,1.0,1.0,1.0,1.0,1.0,1.0,-50.5,0.0,0.0,0.0,0.0,5608.389684399663,77.7595498873565,,4.6
uniform,uniform,2,,,1,5,1.0,1.0,0.0,0.0,1.0,0.0,-10.0,0.047619047619043085,0.047619047619043085,0.5,1.0,898.1572011995013,21.877894682818027,,9.2
uniform,uniform,2,,,10,5,1.0,1.0,1.0,1.0,1.0,1.0,-10.5,0.0,0.0,0.0,0.0,865.5412573996728,19.489804506608447,,9.2
uniform,uniform,2,,,3,5,1.0,1.0,1.0,1.0,1.0,1.0,-10.5,0.0,0.0,0.0,0.0,919.7980923996511,46.10066248898724,,9.2
uniform,uniform,2,,,5,5,1.0,1.0,1.0,1.0,1.0,1.0,-10.5,0.0,0.0,0.0,0.0,903.6548067997501,38.443906061561684,,9.2
uniform,uniform,3,,,1,5,1.0,1.0,0.0,0.0,1.0,0.0,-15.000000000000004,0.028776978417264332,0.028776978417264332,0.44444444444444464,1.0,1326.3458461999107,35.22262538820712,,7.4
uniform,uniform,3,,,10,5,1.0,1.0,1.0,1.0,1.0,1.0,-15.444444444444446,0.0,0.0,0.0,0.3333333333333333,1303.9763246000803,41.295904351338386,,7.4
uniform,uniform,3,,,3,5,1.0,1.0,1.0,1.0,1.0,1.0,-15.444444444444446,0.0,0.0,0.0,0.3333333333333333,1257.207087399729,39.94108138315671,,7.4
uniform,uniform,3,,,5,5,1.0,1.0,1.0,1.0,1.0,1.0,-15.444444444444446,0.0,0.0,0.0,0.3333333333333333,1283.359680799913,52.52283084559566,,7.4
uniform,uniform,4,,,1,5,1.0,1.0,0.0,0.0,1.0,0.0,-20.375,0.006097560975609459,0.006097560975609459,0.125,0.5,2403.958743999101,47.78265387824434,,12.6
uniform,uniform,4,,,10,5,1.0,1.0,1.0,1.0,1.0,1.0,-20.5,0.0,0.0,0.0,0.0,2404.675544600468,53.92243322416679,,8.6
uniform,uniform,4,,,3,5,1.0,1.0,1.0,1.0,1.0,1.0,-20.5,0.0,0.0,0.0,0.0,2354.936949799958,54.9623189543414,,8.6
uniform,uniform,4,,,5,5,1.0,1.0,1.0,1.0,1.0,1.0,-20.5,0.0,0.0,0.0,0.0,2428.988897599629,79.96029310723199,,8.6
uniform,uniform,5,,,1,5,1.0,1.0,1.0,1.0,1.0,1.0,-25.48,0.0,0.0,3.552713678800501e-15,0.2000000000000001,2807.1275472000707,94.59288206182772,,8.8
uniform,uniform,5,,,10,5,1.0,1.0,1.0,1.0,1.0,1.0,-25.479999999999997,0.0,0.0,7.105427357601002e-15,0.2000000000000001,2769.7591984007886,92.49230613849156,,5.0
uniform,uniform,5,,,3,5,1.0,1.0,1.0,1.0,1.0,1.0,-25.479999999999997,0.0,0.0,7.105427357601002e-15,0.2000000000000001,2754.029887800425,66.01340563290177,,5.0
uniform,uniform,5,,,5,5,1.0,1.0,1.0,1.0,1.0,1.0,-25.479999999999997,0.0,0.0,7.105427357601002e-15,0.2000000000000001,2814.9685764001333,42.63820785278467,,5.0
uniform,uniform,6,,,1,5,1.0,1.0,1.0,1.0,1.0,1.0,-30.500000000000007,0.0,0.0,0.0,0.0,3310.888977600189,32.570548397860094,,5.8
uniform,uniform,6,,,10,5,1.0,1.0,1.0,1.0,1.0,1.0,-30.500000000000007,0.0,0.0,0.0,0.0,3335.2613074006513,58.4290575000069,,24.4
uniform,uniform,6,,,3,5,1.0,1.0,1.0,1.0,1.0,1.0,-30.500000000000007,0.0,0.0,0.0,0.0,3325.740826999754,57.63069179979539,,24.4
uniform,uniform,6,,,5,5,1.0,1.0,1.0,1.0,1.0,1.0,-30.500000000000007,0.0,0.0,0.0,0.0,3329.0671553997527,68.89524209291106,,24.4
uniform,uniform,8,,,1,5,1.0,1.0,0.0,0.0,1.0,0.0,-40.46875,0.0007716049382715858,0.0007716049382715858,0.03125,0.25,4298.947269999189,87.58644601435081,,5.8
uniform,uniform,8,,,10,5,1.0,1.0,1.0,1.0,1.0,1.0,-40.5,0.0,0.0,0.0,0.0,4144.679913399523,57.22719054756742,,20.6
uniform,uniform,8,,,3,5,1.0,1.0,1.0,1.0,1.0,1.0,-40.5,0.0,0.0,0.0,0.0,4187.834133000433,61.89526794603609,,20.6
uniform,uniform,8,,,5,5,1.0,1.0,1.0,1.0,1.0,1.0,-40.5,0.0,0.0,0.0,0.0,4266.401375400164,74.76391251744951,,20.6
