source_file,scenario_id,experiment,status,structure,instance,difficulty,input_num_processes,num_entities,num_variables,num_cores,weights,pipeline,qubit_max,layers,steps,top_k,random_seed,io_alpha,energy,brute_force_energy,sa_energy,feasible,recorded_optimal,strict_optimal,optimal,sa_strict_optimal,optimality_gap,absolute_gap,recorded_qaoa_sa_agreement,qaoa_sa_agreement,load_imbalance,solve_time_ms,convergence_iterations,max_subqubo_convergence_iterations,num_sub_qubos,brute_force_solve_time_ms,annealing_solve_time_ms,workload_ms,clustering_ms,decomposition_ms,qubo_build_ms,qaoa_ms,reconstruction_ms,validation_ms,operational_validation_ms,experimental_baselines_ms,cluster_num_bundles,cluster_purity,intra_cluster_coupling_mean,inter_cluster_coupling_mean,cluster_bundles,operational_total_ms
sweep_20260627_173015_a8b15101_results.jsonl,E1a.1,E1a,success,dominant,dom060,0.6,6,6,12,2,"[0.08, 0.08, 0.08, 0.08, 0.08, 0.6]",iterative,6,1,100,3,101,0.5,-30.479999999999997,-30.479999999999997,-30.479999999999997,True,True,True,True,True,0.0,0.0,True,True,0.19999999999999996,2301.3215420014603,,5,2,79.18238639831543,305.81007600085286,0.009019999197334982,0.0,0.02167000093322713,0.17886199930217117,2301.719492999837,0.04712000009021722,385.08011599878955,0.0876535996212624,384.9924623991683,,,,,[],2302.063818598981
sweep_20260627_173015_a8b15101_results.jsonl,E1a.2,E1a,success,dominant,dom060,0.6,6,6,12,2,"[0.08, 0.08, 0.08, 0.08, 0.08, 0.6]",iterative,6,1,100,3,102,0.5,-30.479999999999997,-30.479999999999997,-30.479999999999997,True,True,True,True,True,0.0,0.0,True,True,0.19999999999999996,1946.4833270012605,,3,2,76.57694816589355,301.8867449991376,0.00664000071992632,0.0,0.01852999957918655,0.14838999959465582,1947.1733790014696,0.04116999843972735,378.5578870010795,0.09419383604836185,378.46369316503115,,,,,[],1947.4823028358514
sweep_20260627_173015_a8b15101_results.jsonl,E1a.3,E1a,success,dominant,dom060,0.6,6,6,12,2,"[0.08, 0.08, 0.08, 0.08, 0.08, 0.6]",iterative,6,1,100,3,103,0.5,-30.479999999999997,-30.479999999999997,-30.479999999999997,True,True,True,True,True,0.0,0.0,True,True,0.19999999999999996,2014.8901550001028,,7,2,79.05387878417969,302.496667000014,0.006689999281661585,0.0,0.01653099934628699,0.15068000175233465,2015.560727000775,0.039560001823701896,381.6618870005186,0.11134121632494498,381.5505457841937,,,,,[],2015.8855292193039
sweep_20260627_173015_a8b15101_results.jsonl,E1a.4,E1a,success,dominant,dom060,0.6,6,6,12,2,"[0.08, 0.08, 0.08, 0.08, 0.08, 0.6]",iterative,6,1,100,3,104,0.5,-30.479999999999997,-30.479999999999997,-30.479999999999997,True,True,True,True,True,0.0,0.0,True,True,0.19999999999999996,1952.4702750004508,,4,2,78.2005786895752,304.0908210005,0.006189999112393707,0.0,0.016570000298088416,0.1534609982627444,1953.1210269979056,0.03792999996221624,382.37564799965185,0.08424830957665108,382.2913996900752,,,,,[],1953.4194263051177
sweep_20260627_173015_a8b15101_results.jsonl,E1a.5,E1a,success,dominant,dom060,0.6,6,6,12,2,"[0.08, 0.08, 0.08, 0.08, 0.08, 0.6]",iterative,6,1,100,3,105,0.5,-30.479999999999997,-30.479999999999997,-30.479999999999997,True,True,True,True,True,0.0,0.0,True,True,0.19999999999999996,2018.1862539993745,,3,2,79.41198348999023,311.43082400012645,0.00599000122747384,0.0,0.01601000076334458,0.1523710016044788,2018.8524069999403,0.03977999949711375,390.9291449999728,0.08633750985609367,390.8428074901167,,,,,[],2019.1528955128888
sweep_20260627_173015_a8b15101_results.jsonl,E1a.6,E1a,success,dominant,dom060,0.6,6,6,12,2,"[0.08, 0.08, 0.08, 0.08, 0.08, 0.6]",iterative,6,1,100,10,101,0.5,-30.479999999999997,-30.479999999999997,-30.479999999999997,True,True,True,True,True,0.0,0.0,True,True,0.19999999999999996,1957.1347189994412,,5,2,78.58014106750488,308.6179349993472,0.006049998773960397,0.0,0.0159699993673712,0.143940000270959,1957.818890999988,0.03972099693783093,387.2763039998972,0.07822793304512743,387.1980760668521,,,,,[],1958.1027999283833
sweep_20260627_173015_a8b15101_results.jsonl,E1a.7,E1a,success,dominant,dom060,0.6,6,6,12,2,"[0.08, 0.08, 0.08, 0.08, 0.08, 0.6]",iterative,6,1,100,10,102,0.5,-30.479999999999997,-30.479999999999997,-30.479999999999997,True,True,True,True,True,0.0,0.0,True,True,0.19999999999999996,2018.35000400024,,3,2,78.60183715820312,324.0210109997861,0.006059999577701092,0.0,0.016170000890269876,0.14541999917128123,2019.0107060006994,0.03812099930655677,402.7085200013971,0.08567184340790845,402.6228481579892,,,,,[],2019.3021488430531
sweep_20260627_173015_a8b15101_results.jsonl,E1a.8,E1a,success,dominant,dom060,0.6,6,6,12,2,"[0.08, 0.08, 0.08, 0.08, 0.08, 0.6]",iterative,6,1,100,10,103,0.5,-30.479999999999997,-30.479999999999997,-30.479999999999997,True,True,True,True,True,0.0,0.0,True,True,0.19999999999999996,2021.8361749994074,,7,2,79.07629013061523,305.44298499989964,0.006120999387349002,0.0,0.016199999663513154,0.16374099868698977,2022.5078069997835,0.03943000047001988,384.59645500006445,0.07717986954958178,384.51927513051487,,,,,[],2022.810478867541
sweep_20260627_173015_a8b15101_results.jsonl,E1a.9,E1a,success,dominant,dom060,0.6,6,6,12,2,"[0.08, 0.08, 0.08, 0.08, 0.08, 0.6]",iterative,6,1,100,10,104,0.5,-30.479999999999997,-30.479999999999997,-30.479999999999997,True,True,True,True,True,0.0,0.0,True,True,0.19999999999999996,1954.608942998675,,4,2,78.49645614624023,309.20884700026363,0.007910000931588002,0.0,0.016999998479150236,0.14486099826171994,1955.2668650012492,0.038410000342992134,387.7843450009095,0.07904185440565925,387.70530314650387,,,,,[],1955.5540878536704
sweep_20260627_173015_a8b15101_results.jsonl,E1a.10,E1a,success,dominant,dom060,0.6,6,6,12,2,"[0.08, 0.08, 0.08, 0.08, 0.08, 0.6]",iterative,6,1,100,10,105,0.5,-30.479999999999997,-30.479999999999997,-30.479999999999997,True,True,True,True,True,0.0,0.0,True,True,0.19999999999999996,2030.5463719996624,,3,2,78.98378372192383,307.68695200094953,0.006010001015965827,0.0,0.016230000255745836,0.15120099851628765,2031.206984001983,0.042069999835803173,386.75456199962355,0.08382627675018739,386.67073572287336,,,,,[],2031.506321278357
