N,num_variables,num_subqubos,runs,baseline_method,baseline_certified_runs,candidate_normalized_load_imbalance_mean,candidate_normalized_load_imbalance_median,candidate_normalized_load_imbalance_max,baseline_normalized_load_imbalance_mean,candidate_balance_objective_mean,baseline_balance_objective_mean,objective_regret_mean,objective_regret_median,objective_regret_max,baseline_match_offset_free_count,baseline_match_offset_free_percent,certified_optimal_offset_free_count,legacy_match_count,tempo_total_ms_mean
10,20,3,20,bruteforce,20,0.03217389469993849,0.02808708080659817,0.07023058997076805,0.0019694596141804042,0.005833853340878882,4.412735867091322e-05,0.0057897259822079685,0.0027549249170800982,0.023875424877823397,0,0.0,0,0,6040.705805049583
15,30,4,20,bruteforce,20,0.011221733060322684,0.008487547788082,0.026349643792836275,5.101564422272535e-05,0.0014612392987282013,4.0555155050930465e-08,0.0014611987435731502,0.0006480988542673831,0.007293231814539857,0,0.0,0,0,9135.71081429941
20,40,5,20,bruteforce,20,0.009632904090476036,0.006951132336723902,0.03269535751568607,1.1141045156081087e-06,0.00306103591731625,2.96475431068179e-11,0.003061035887668707,0.0005310534829923714,0.018063514185650005,0,0.0,0,0,17252.65091094998
25,50,7,20,simulated_annealing,0,0.002929971657190257,0.0015556696009608388,0.01739800341143686,2.1331245573621858e-06,0.0005944392412188966,1.335473233226853e-10,0.0005944391076715733,4.7778617699069956e-05,0.008249965273753703,0,0.0,0,2,16339.714438150122
30,60,8,20,simulated_annealing,0,0.004176891827189949,0.0036229335818037276,0.011670152382910939,1.0296795745062274e-06,0.0007709490335494344,5.918000846343215e-11,0.000770948974369426,0.00038225001368490455,0.0029053651220736043,0,0.0,0,1,19048.674273000255
40,80,10,20,simulated_annealing,0,0.0014089818288575387,0.001014132138893107,0.004050389468863014,7.691935704218121e-07,0.00015868114754856406,5.9794737436687e-11,0.00015868108775382665,6.168487020205258e-05,0.000878109740328529,0,0.0,0,1,25567.672416749974
50,100,13,20,simulated_annealing,0,0.0011538164766964226,0.000963054863546629,0.0030162208311101542,4.3176280038027914e-07,0.00017297386118986433,5.2683425949795494e-11,0.00017297380850643838,8.65191703403391e-05,0.0006924221855483439,0,0.0,0,2,32096.812636949995
65,130,17,12,simulated_annealing,0,0.0009544082352569964,0.0003679939280375757,0.0030678977722467977,2.8381778190476905e-07,0.00028599135550215005,1.61633445625948e-11,0.00028599133933880546,1.6904514268917415e-05,0.0014368619736606885,0,0.0,0,0,42206.167104750646
80,160,20,12,simulated_annealing,0,0.0005629584385080847,0.0001921772729812219,0.0021442536690409585,2.4352643041049205e-07,0.00015635665981533647,1.6817518392506317e-11,0.00015635664299781807,7.293439750915945e-06,0.0010164758622026018,0,0.0,0,3,51835.40853499834
100,200,25,12,simulated_annealing,0,0.0003292281585033108,0.00013565341312443617,0.0012950664881830139,1.3123114103985004e-07,7.623218657397205e-05,6.71991080391779e-12,7.623217985406126e-05,6.556264749963176e-06,0.00042797551955385267,0,0.0,0,4,65995.81609549977
130,260,33,8,simulated_annealing,0,0.00022160958119823185,0.0001088447606887795,0.0009017181727941291,1.3797245855502512e-07,7.635479727660392e-05,1.3460450726979074e-11,7.635478381615319e-05,7.086800196252241e-06,0.00047935385959382555,1,12.5,0,3,95559.44484549944
160,320,40,8,simulated_annealing,0,0.0001997339032660537,3.2666883050031306e-05,0.0007300493279168949,1.0860073369737892e-07,9.407908460979269e-05,1.4522744748670735e-11,9.407907008704793e-05,9.468591242773897e-07,0.000508844389133609,0,0.0,0,5,105880.58573912531
200,400,50,8,simulated_annealing,0,7.917504433234017e-05,3.597861806334531e-05,0.0002874943307389173,1.3353547290275104e-07,1.9872373000844057e-05,3.109307938799678e-11,1.987234190776467e-05,1.823389163351578e-06,0.00011303248448620934,0,0.0,0,5,136060.12627737073
