N,seed,qaoa_seed,status,num_subqubos,tempo_total_ms,tempo_qaoa_ms,tempo_overhead_ms,baseline_method,baseline_certified,baseline_energy,pipeline_energy,is_optimal,gap_relativo,load_imbalance,annealing_restarts_stable,annealing_restart_energy_std
10,0,10000,success,3,6069.651809998504,6063.163082999381,6.488726999123173,bruteforce,True,-65.15308304901194,-65.1453343446866,False,0.00011893073915639577,0.12455437497632715,,
10,1,10001,success,3,6151.42650099915,6145.464668000386,5.961832998764294,bruteforce,True,-63.02695672181468,-63.026631619977486,False,5.15813953426585e-06,0.02616870260423143,,
10,2,10002,success,3,6245.571254999959,6239.281469000161,6.289785999797459,bruteforce,True,-57.881862088926326,-57.88175257198873,False,1.892076958933804e-06,0.014912754299948094,,
10,3,10003,success,3,6166.561762998754,6160.2924270000585,6.269335998695169,bruteforce,True,-56.919904697690875,-56.91939259342841,False,8.99692761578117e-06,0.03220160169498154,,
10,4,10004,success,3,5888.058690996331,5881.9163669986665,6.142323997664789,bruteforce,True,-67.33021701541715,-67.32848895407203,False,2.5665465250519987e-05,0.05881172210938157,,
10,5,10005,success,3,5997.524255000826,5991.071630000079,6.452625000747503,bruteforce,True,-59.47453237084508,-59.472452743462114,False,3.4966687421796403e-05,0.06450006033669187,,
10,6,10006,success,3,5947.147990998019,5940.990445998068,6.157544999950915,bruteforce,True,-62.76325917142821,-62.75327074424021,False,0.00015914449504154625,0.14135441682428107,,
10,7,10007,success,3,6057.535650002137,6051.5867060003075,5.948944001829659,bruteforce,True,-66.75289455888883,-66.73224521223284,False,0.00030934009367593194,0.20326207519045525,,
10,8,10008,success,3,5862.204205998751,5855.777160000798,6.4270459979525185,bruteforce,True,-62.898323821665976,-62.88725320128487,False,0.0001760081939940577,0.14879959196421888,,
10,9,10009,success,3,6109.514271996886,6103.105375000268,6.408896996617841,bruteforce,True,-70.55461541158232,-70.54150894144304,False,0.00018576346937504215,0.16278682424346425,,
10,10,10010,success,3,6020.803940000405,6014.246732999709,6.557207000696508,bruteforce,True,-66.26412277971937,-66.26399748052548,False,1.890905495171973e-06,0.015854259706392426,,
