N,runs,successful_runs,comparable_runs,optimal_rate_percent,gap_relativo_mean,gap_relativo_median,gap_relativo_std,load_imbalance_mean,tempo_total_ms_mean,tempo_total_ms_std,tempo_qaoa_ms_mean,tempo_overhead_ms_mean,num_subqubos_mean,baseline_methods,uncertified_runs,unstable_annealing_runs,within_gap_1e-03_percent,within_gap_1e-04_percent,within_gap_1e-05_percent,within_gap_1e-06_percent
10,20,20,20,0.0,8.767501085667876e-05,4.3370752853466634e-05,0.00010441048469304451,0.08637806552934775,6040.705805049583,114.6251084310955,6034.42514469989,6.28066034969379,3.0,bruteforce,0,0,100.0,65.0,35.0,5.0
15,20,20,20,0.0,1.3629691880757838e-05,5.8646240906456005e-06,1.784272460489811e-05,0.04325865097510499,9135.71081429941,277.7135445826475,8953.73795079986,181.97286349954993,4.0,bruteforce,0,0,100.0,100.0,60.0,25.0
20,20,20,20,0.0,1.84665059816418e-05,3.838029809039432e-06,3.3865401287336986e-05,0.05320208485097715,17252.65091094998,269.17335410506416,11511.10246090002,5741.548450049959,5.0,bruteforce,0,0,100.0,90.0,75.0,35.0
25,20,20,20,10.0,2.6121363626548542e-06,2.3583076118666242e-07,7.843323809126439e-06,0.019722628724887413,16339.714438150122,207.47521023569115,14491.723536699898,1847.9909014502257,7.0,simulated_annealing,20,3,100.0,100.0,95.0,65.0
30,20,20,20,5.0,2.911203130009841e-06,1.4794204490293024e-06,3.539976710311603e-06,0.031892253790381145,19048.674273000255,115.27727646496193,16827.846198849988,2220.8280741502676,8.0,simulated_annealing,20,0,100.0,100.0,95.0,45.0
40,20,20,20,5.0,3.9062534859755793e-07,1.3927201294690893e-07,5.239135149532703e-07,0.014212229816406552,25567.672416749974,161.50720167052512,22552.13759340013,3015.5348233498444,10.0,simulated_annealing,20,0,100.0,100.0,100.0,85.0
50,20,20,20,10.0,2.9653323192101147e-07,1.3979193366624587e-07,3.802893847492861e-07,0.014861034185225552,32096.812636949995,161.60894627991905,28262.727972900124,3834.084664049874,13.0,simulated_annealing,20,0,100.0,100.0,100.0,85.0
65,12,12,12,0.0,3.2065133866857855e-07,2.1336664411815246e-08,5.622720927992652e-07,0.015764649317574115,42206.167104750646,160.37115746149567,37027.01472983313,5179.152374917521,17.0,simulated_annealing,12,0,100.0,100.0,100.0,83.33333333333333
80,12,12,12,25.0,1.313062544194514e-07,6.084130175719021e-09,2.5196071863214916e-07,0.01120334639540547,51835.40853499834,293.03265224171986,45337.899330165856,6497.509204832492,20.0,simulated_annealing,12,0,100.0,100.0,100.0,100.0
100,12,12,12,33.33333333333333,4.549037945313181e-08,3.523035008361536e-09,8.570190601642094e-08,0.00812053767044348,65995.81609549977,2169.071565930342,57554.828552583254,8440.98754291652,25.0,simulated_annealing,12,0,100.0,100.0,100.0,100.0
130,8,8,8,37.5,2.5548115288116618e-08,2.4827642286569567e-09,5.488997796737127e-08,0.007540443054472323,95559.44484549944,2758.2600213922597,83223.86439037563,12335.580455123816,33.0,simulated_annealing,8,0,100.0,100.0,100.0,100.0
160,8,8,8,62.5,2.102040747086835e-08,2.2286991896396193e-10,3.8271156422105816e-08,0.008459483160237369,105880.58573912531,7105.100759485999,91368.06388775006,14512.521851375253,40.0,simulated_annealing,8,0,100.0,100.0,100.0,100.0
200,8,8,8,62.5,3.0720487285921124e-09,3.030917474656279e-10,5.9861668159279575e-09,0.004122261126690674,136060.12627737073,2145.8254016095807,117648.95108924907,18411.175188121662,50.0,simulated_annealing,8,0,100.0,100.0,100.0,100.0
